DATE By Day,DATE,BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,NYPD_MOTOR_VEHICLE_COLLISON_2014,WeekEnd Flag,WRK_WKEND_HOLIDAY
"Wednesday, January 1, 2014",01/01/14,,56,1,2,0,0,0,54,1,88,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,BRONX,17,0,3,0,0,0,14,0,37,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,BROOKLYN,35,0,7,0,0,0,28,0,92,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,MANHATTAN,23,0,9,0,1,0,13,0,76,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,QUEENS,24,0,2,0,1,0,21,0,89,Work day,New Year’s Day
"Wednesday, January 1, 2014",01/01/14,STATEN ISLAND,10,1,1,0,0,0,9,1,17,Work day,New Year’s Day
"Thursday, January 2, 2014",01/02/14,,18,1,2,0,0,0,16,1,153,Work day,Work day
"Thursday, January 2, 2014",01/02/14,BRONX,14,1,4,1,0,0,10,0,55,Work day,Work day
"Thursday, January 2, 2014",01/02/14,BROOKLYN,45,1,16,1,0,0,29,0,153,Work day,Work day
"Thursday, January 2, 2014",01/02/14,MANHATTAN,13,0,9,0,0,0,4,0,91,Work day,Work day
"Thursday, January 2, 2014",01/02/14,QUEENS,26,0,3,0,0,0,23,0,117,Work day,Work day
"Thursday, January 2, 2014",01/02/14,STATEN ISLAND,5,0,2,0,0,0,3,0,34,Work day,Work day
"Friday, January 3, 2014",01/03/14,,13,0,1,0,0,0,12,0,105,Work day,Work day
"Friday, January 3, 2014",01/03/14,BRONX,5,0,0,0,0,0,5,0,57,Work day,Work day
"Friday, January 3, 2014",01/03/14,BROOKLYN,4,0,2,0,0,0,2,0,93,Work day,Work day
"Friday, January 3, 2014",01/03/14,MANHATTAN,8,0,4,0,1,0,3,0,69,Work day,Work day
"Friday, January 3, 2014",01/03/14,QUEENS,14,0,2,0,0,0,12,0,82,Work day,Work day
"Friday, January 3, 2014",01/03/14,STATEN ISLAND,2,0,0,0,0,0,2,0,17,Work day,Work day
"Saturday, January 4, 2014",01/04/14,,25,0,4,0,0,0,21,0,115,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,BRONX,15,0,4,0,0,0,11,0,40,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,BROOKLYN,31,0,8,0,0,0,23,0,103,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,MANHATTAN,6,0,4,0,1,0,1,0,58,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,QUEENS,12,0,7,0,0,0,5,0,88,Weekend,Weekend
"Saturday, January 4, 2014",01/04/14,STATEN ISLAND,2,0,1,0,0,0,1,0,14,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,,18,0,1,0,0,0,17,0,81,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,BRONX,11,0,0,0,0,0,11,0,26,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,BROOKLYN,11,0,5,0,0,0,6,0,74,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,MANHATTAN,4,0,2,0,1,0,1,0,43,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,QUEENS,16,1,6,1,2,0,8,0,81,Weekend,Weekend
"Sunday, January 5, 2014",01/05/14,STATEN ISLAND,3,0,0,0,0,0,3,0,15,Weekend,Weekend
"Monday, January 6, 2014",01/06/14,,28,0,6,0,0,0,22,0,125,Work day,Work day
"Monday, January 6, 2014",01/06/14,BRONX,10,0,1,0,0,0,9,0,47,Work day,Work day
"Monday, January 6, 2014",01/06/14,BROOKLYN,36,1,14,1,4,0,18,0,144,Work day,Work day
"Monday, January 6, 2014",01/06/14,MANHATTAN,20,0,8,0,4,0,8,0,97,Work day,Work day
"Monday, January 6, 2014",01/06/14,QUEENS,10,0,5,0,0,0,5,0,87,Work day,Work day
"Monday, January 6, 2014",01/06/14,STATEN ISLAND,7,0,0,0,0,0,7,0,17,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,,44,0,5,0,0,0,39,0,128,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,BRONX,12,0,3,0,0,0,9,0,44,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,BROOKLYN,18,0,8,0,0,0,10,0,112,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,MANHATTAN,16,0,8,0,2,0,6,0,91,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,QUEENS,27,0,12,0,1,0,14,0,100,Work day,Work day
"Tuesday, January 7, 2014",01/07/14,STATEN ISLAND,2,0,0,0,0,0,2,0,16,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,,42,0,2,0,2,0,38,0,152,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,BRONX,9,0,6,0,0,0,3,0,49,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,BROOKLYN,31,0,12,0,1,0,18,0,143,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,MANHATTAN,19,0,11,0,1,0,7,0,99,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,QUEENS,48,0,12,0,0,0,36,0,150,Work day,Work day
"Wednesday, January 8, 2014",01/08/14,STATEN ISLAND,6,0,0,0,0,0,6,0,23,Work day,Work day
"Thursday, January 9, 2014",01/09/14,,21,0,8,0,0,0,13,0,131,Work day,Work day
"Thursday, January 9, 2014",01/09/14,BRONX,14,0,6,0,0,0,8,0,57,Work day,Work day
"Thursday, January 9, 2014",01/09/14,BROOKLYN,13,0,7,0,1,0,5,0,114,Work day,Work day
"Thursday, January 9, 2014",01/09/14,MANHATTAN,21,0,14,0,1,0,6,0,120,Work day,Work day
"Thursday, January 9, 2014",01/09/14,QUEENS,29,0,8,0,0,0,21,0,113,Work day,Work day
"Thursday, January 9, 2014",01/09/14,STATEN ISLAND,2,0,1,0,0,0,1,0,26,Work day,Work day
"Friday, January 10, 2014",01/10/14,,31,0,3,0,0,0,28,0,136,Work day,Work day
"Friday, January 10, 2014",01/10/14,BRONX,42,0,5,0,0,0,37,0,74,Work day,Work day
"Friday, January 10, 2014",01/10/14,BROOKLYN,70,0,25,0,2,0,43,0,154,Work day,Work day
"Friday, January 10, 2014",01/10/14,MANHATTAN,15,2,10,2,2,0,3,0,138,Work day,Work day
"Friday, January 10, 2014",01/10/14,QUEENS,29,0,14,0,1,0,14,0,143,Work day,Work day
"Friday, January 10, 2014",01/10/14,STATEN ISLAND,4,1,2,0,0,0,2,1,22,Work day,Work day
"Saturday, January 11, 2014",01/11/14,,33,0,8,0,0,0,25,0,96,Weekend,Weekend
"Saturday, January 11, 2014",01/11/14,BRONX,16,1,9,1,0,0,7,0,51,Weekend,Weekend
"Saturday, January 11, 2014",01/11/14,BROOKLYN,43,1,15,1,0,0,28,0,107,Weekend,Weekend
"Saturday, January 11, 2014",01/11/14,MANHATTAN,25,0,15,0,1,0,9,0,90,Weekend,Weekend
"Saturday, January 11, 2014",01/11/14,QUEENS,37,0,15,0,2,0,20,0,107,Weekend,Weekend
"Saturday, January 11, 2014",01/11/14,STATEN ISLAND,3,0,1,0,0,0,2,0,14,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,,23,0,7,0,0,0,16,0,90,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,BRONX,4,0,2,0,0,0,2,0,25,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,BROOKLYN,35,1,5,0,2,0,28,1,112,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,MANHATTAN,13,0,5,0,1,0,7,0,78,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,QUEENS,20,0,5,0,1,0,14,0,74,Weekend,Weekend
"Sunday, January 12, 2014",01/12/14,STATEN ISLAND,1,0,1,0,0,0,0,0,10,Weekend,Weekend
"Monday, January 13, 2014",01/13/14,,41,0,4,0,3,0,34,0,128,Work day,Work day
"Monday, January 13, 2014",01/13/14,BRONX,21,0,2,0,1,0,18,0,62,Work day,Work day
"Monday, January 13, 2014",01/13/14,BROOKLYN,50,0,13,0,3,0,34,0,158,Work day,Work day
"Monday, January 13, 2014",01/13/14,MANHATTAN,14,0,2,0,0,0,12,0,91,Work day,Work day
"Monday, January 13, 2014",01/13/14,QUEENS,35,0,7,0,1,0,27,0,113,Work day,Work day
"Monday, January 13, 2014",01/13/14,STATEN ISLAND,3,0,2,0,0,0,1,0,15,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,,28,0,4,0,0,0,24,0,125,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,BRONX,28,0,11,0,0,0,17,0,55,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,BROOKLYN,44,0,13,0,2,0,29,0,120,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,MANHATTAN,31,0,21,0,0,0,10,0,115,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,QUEENS,49,0,19,0,5,0,25,0,127,Work day,Work day
"Tuesday, January 14, 2014",01/14/14,STATEN ISLAND,6,0,2,0,0,0,4,0,16,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,,18,0,3,0,1,0,14,0,128,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,BRONX,13,0,4,0,1,0,8,0,76,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,BROOKLYN,41,0,9,0,5,0,27,0,118,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,MANHATTAN,18,0,5,0,0,0,13,0,131,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,QUEENS,23,0,9,0,1,0,13,0,102,Work day,Work day
"Wednesday, January 15, 2014",01/15/14,STATEN ISLAND,5,0,2,0,0,0,3,0,28,Work day,Work day
"Thursday, January 16, 2014",01/16/14,,30,0,5,0,0,0,25,0,122,Work day,Work day
"Thursday, January 16, 2014",01/16/14,BRONX,18,0,6,0,0,0,12,0,37,Work day,Work day
"Thursday, January 16, 2014",01/16/14,BROOKLYN,22,0,10,0,0,0,12,0,123,Work day,Work day
"Thursday, January 16, 2014",01/16/14,MANHATTAN,37,0,13,0,4,0,20,0,132,Work day,Work day
"Thursday, January 16, 2014",01/16/14,QUEENS,28,0,8,0,2,0,18,0,93,Work day,Work day
"Thursday, January 16, 2014",01/16/14,STATEN ISLAND,6,0,3,0,1,0,2,0,14,Work day,Work day
"Friday, January 17, 2014",01/17/14,,29,0,2,0,0,0,27,0,128,Work day,Work day
"Friday, January 17, 2014",01/17/14,BRONX,14,0,8,0,1,0,5,0,42,Work day,Work day
"Friday, January 17, 2014",01/17/14,BROOKLYN,42,0,14,0,1,0,27,0,127,Work day,Work day
"Friday, January 17, 2014",01/17/14,MANHATTAN,16,1,6,0,3,0,7,1,130,Work day,Work day
"Friday, January 17, 2014",01/17/14,QUEENS,30,0,10,0,2,0,18,0,136,Work day,Work day
"Friday, January 17, 2014",01/17/14,STATEN ISLAND,8,0,1,0,0,0,7,0,26,Work day,Work day
"Saturday, January 18, 2014",01/18/14,,28,2,0,2,0,0,28,0,100,Weekend,Weekend
"Saturday, January 18, 2014",01/18/14,BRONX,12,0,5,0,0,0,7,0,45,Weekend,Weekend
"Saturday, January 18, 2014",01/18/14,BROOKLYN,38,0,9,0,1,0,28,0,110,Weekend,Weekend
"Saturday, January 18, 2014",01/18/14,MANHATTAN,18,0,4,0,2,0,12,0,79,Weekend,Weekend
"Saturday, January 18, 2014",01/18/14,QUEENS,26,0,6,0,0,0,20,0,92,Weekend,Weekend
"Saturday, January 18, 2014",01/18/14,STATEN ISLAND,8,0,1,0,0,0,7,0,22,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,,36,0,0,0,0,0,36,0,102,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,BRONX,20,0,0,0,0,0,20,0,34,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,BROOKLYN,46,0,4,0,4,0,38,0,80,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,MANHATTAN,10,2,4,1,0,1,6,0,62,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,QUEENS,21,0,5,0,2,0,14,0,84,Weekend,Weekend
"Sunday, January 19, 2014",01/19/14,STATEN ISLAND,1,0,1,0,0,0,0,0,18,Weekend,Weekend
"Monday, January 20, 2014",01/20/14,,20,1,0,0,0,0,20,1,90,Work day,"Martin Luther King, Jr. birthday"
"Monday, January 20, 2014",01/20/14,BRONX,7,0,3,0,1,0,3,0,36,Work day,"Martin Luther King, Jr. birthday"
"Monday, January 20, 2014",01/20/14,BROOKLYN,19,0,4,0,2,0,13,0,75,Work day,"Martin Luther King, Jr. birthday"
"Monday, January 20, 2014",01/20/14,MANHATTAN,16,0,7,0,1,0,8,0,68,Work day,"Martin Luther King, Jr. birthday"
"Monday, January 20, 2014",01/20/14,QUEENS,9,0,1,0,1,0,7,0,78,Work day,"Martin Luther King, Jr. birthday"
"Monday, January 20, 2014",01/20/14,STATEN ISLAND,1,0,1,0,0,0,0,0,13,Work day,"Martin Luther King, Jr. birthday"
"Tuesday, January 21, 2014",01/21/14,,42,0,2,0,0,0,40,0,318,Work day,Work day
"Tuesday, January 21, 2014",01/21/14,BRONX,31,0,8,0,0,0,23,0,132,Work day,Work day
"Tuesday, January 21, 2014",01/21/14,BROOKLYN,41,0,14,0,1,0,26,0,254,Work day,Work day
"Tuesday, January 21, 2014",01/21/14,MANHATTAN,23,0,8,0,1,0,14,0,160,Work day,Work day
"Tuesday, January 21, 2014",01/21/14,QUEENS,28,0,7,0,0,0,21,0,248,Work day,Work day
"Tuesday, January 21, 2014",01/21/14,STATEN ISLAND,3,0,0,0,0,0,3,0,49,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,,21,0,4,0,0,0,17,0,93,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,BRONX,4,0,4,0,0,0,0,0,34,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,BROOKLYN,22,0,4,0,0,0,18,0,130,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,MANHATTAN,12,0,4,0,1,0,7,0,120,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,QUEENS,12,0,0,0,0,0,12,0,102,Work day,Work day
"Wednesday, January 22, 2014",01/22/14,STATEN ISLAND,5,0,1,0,0,0,4,0,19,Work day,Work day
"Thursday, January 23, 2014",01/23/14,,35,0,3,0,0,0,32,0,165,Work day,Work day
"Thursday, January 23, 2014",01/23/14,BRONX,5,0,2,0,0,0,3,0,55,Work day,Work day
"Thursday, January 23, 2014",01/23/14,BROOKLYN,23,0,5,0,1,0,17,0,124,Work day,Work day
"Thursday, January 23, 2014",01/23/14,MANHATTAN,30,0,20,0,0,0,10,0,134,Work day,Work day
"Thursday, January 23, 2014",01/23/14,QUEENS,15,0,6,0,1,0,8,0,106,Work day,Work day
"Thursday, January 23, 2014",01/23/14,STATEN ISLAND,5,0,1,0,0,0,4,0,27,Work day,Work day
"Friday, January 24, 2014",01/24/14,,57,0,6,0,0,0,51,0,201,Work day,Work day
"Friday, January 24, 2014",01/24/14,BRONX,16,0,6,0,0,0,10,0,62,Work day,Work day
"Friday, January 24, 2014",01/24/14,BROOKLYN,30,0,13,0,1,0,16,0,149,Work day,Work day
"Friday, January 24, 2014",01/24/14,MANHATTAN,28,0,14,0,3,0,11,0,136,Work day,Work day
"Friday, January 24, 2014",01/24/14,QUEENS,29,0,18,0,0,0,11,0,128,Work day,Work day
"Friday, January 24, 2014",01/24/14,STATEN ISLAND,6,0,2,0,0,0,4,0,28,Work day,Work day
"Saturday, January 25, 2014",01/25/14,,17,0,4,0,0,0,13,0,103,Weekend,Weekend
"Saturday, January 25, 2014",01/25/14,BRONX,15,1,3,1,0,0,12,0,47,Weekend,Weekend
"Saturday, January 25, 2014",01/25/14,BROOKLYN,47,0,5,0,1,0,41,0,126,Weekend,Weekend
"Saturday, January 25, 2014",01/25/14,MANHATTAN,17,0,6,0,2,0,9,0,89,Weekend,Weekend
"Saturday, January 25, 2014",01/25/14,QUEENS,12,0,3,0,0,0,9,0,94,Weekend,Weekend
"Saturday, January 25, 2014",01/25/14,STATEN ISLAND,2,0,0,0,0,0,2,0,16,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,,42,0,0,0,0,0,42,0,126,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,BRONX,19,0,3,0,0,0,16,0,62,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,BROOKLYN,24,0,7,0,0,0,17,0,96,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,MANHATTAN,23,0,9,0,0,0,14,0,71,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,QUEENS,17,0,4,0,1,0,12,0,94,Weekend,Weekend
"Sunday, January 26, 2014",01/26/14,STATEN ISLAND,4,1,0,1,0,0,4,0,16,Weekend,Weekend
"Monday, January 27, 2014",01/27/14,,28,0,3,0,0,0,25,0,132,Work day,Work day
"Monday, January 27, 2014",01/27/14,BRONX,13,0,4,0,1,0,8,0,53,Work day,Work day
"Monday, January 27, 2014",01/27/14,BROOKLYN,26,0,9,0,4,0,13,0,112,Work day,Work day
"Monday, January 27, 2014",01/27/14,MANHATTAN,12,0,6,0,0,0,6,0,101,Work day,Work day
"Monday, January 27, 2014",01/27/14,QUEENS,17,0,5,0,0,0,12,0,96,Work day,Work day
"Monday, January 27, 2014",01/27/14,STATEN ISLAND,8,0,1,0,0,0,7,0,17,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,,20,0,0,0,0,0,20,0,104,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,BRONX,22,0,5,0,1,0,16,0,56,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,BROOKLYN,31,0,13,0,0,0,18,0,127,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,MANHATTAN,24,0,15,0,1,0,8,0,109,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,QUEENS,21,0,2,0,0,0,19,0,90,Work day,Work day
"Tuesday, January 28, 2014",01/28/14,STATEN ISLAND,7,0,2,0,0,0,5,0,18,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,,26,0,3,0,0,0,23,0,132,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,BRONX,24,0,9,0,0,0,15,0,68,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,BROOKLYN,52,0,18,0,4,0,30,0,181,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,MANHATTAN,27,0,9,0,1,0,17,0,117,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,QUEENS,33,0,10,0,0,0,23,0,128,Work day,Work day
"Wednesday, January 29, 2014",01/29/14,STATEN ISLAND,5,0,1,0,0,0,4,0,23,Work day,Work day
"Thursday, January 30, 2014",01/30/14,,33,0,4,0,0,0,29,0,142,Work day,Work day
"Thursday, January 30, 2014",01/30/14,BRONX,15,0,3,0,0,0,12,0,55,Work day,Work day
"Thursday, January 30, 2014",01/30/14,BROOKLYN,49,0,19,0,0,0,30,0,168,Work day,Work day
"Thursday, January 30, 2014",01/30/14,MANHATTAN,21,0,11,0,4,0,6,0,133,Work day,Work day
"Thursday, January 30, 2014",01/30/14,QUEENS,35,0,14,0,0,0,21,0,133,Work day,Work day
"Thursday, January 30, 2014",01/30/14,STATEN ISLAND,4,0,0,0,0,0,4,0,26,Work day,Work day
"Friday, January 31, 2014",01/31/14,,31,0,7,0,1,0,23,0,120,Work day,Work day
"Friday, January 31, 2014",01/31/14,BRONX,11,0,4,0,0,0,7,0,63,Work day,Work day
"Friday, January 31, 2014",01/31/14,BROOKLYN,34,1,11,0,2,0,21,1,129,Work day,Work day
"Friday, January 31, 2014",01/31/14,MANHATTAN,11,0,3,0,1,0,7,0,111,Work day,Work day
"Friday, January 31, 2014",01/31/14,QUEENS,16,0,4,0,0,0,12,0,126,Work day,Work day
"Friday, January 31, 2014",01/31/14,STATEN ISLAND,4,0,1,0,0,0,3,0,11,Work day,Work day
"Saturday, February 1, 2014",02/01/14,,56,0,11,0,0,0,45,0,128,Weekend,Weekend
"Saturday, February 1, 2014",02/01/14,BRONX,9,0,3,0,0,0,6,0,56,Weekend,Weekend
"Saturday, February 1, 2014",02/01/14,BROOKLYN,39,0,11,0,5,0,23,0,125,Weekend,Weekend
"Saturday, February 1, 2014",02/01/14,MANHATTAN,17,0,11,0,3,0,3,0,86,Weekend,Weekend
"Saturday, February 1, 2014",02/01/14,QUEENS,20,0,4,0,0,0,16,0,93,Weekend,Weekend
"Saturday, February 1, 2014",02/01/14,STATEN ISLAND,9,0,4,0,0,0,5,0,19,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,,24,0,8,0,2,0,14,0,76,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,BRONX,14,0,3,0,1,0,10,0,52,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,BROOKLYN,29,1,19,0,0,1,10,0,99,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,MANHATTAN,12,0,8,0,2,0,2,0,80,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,QUEENS,30,0,7,0,1,0,22,0,96,Weekend,Weekend
"Sunday, February 2, 2014",02/02/14,STATEN ISLAND,5,0,0,0,0,0,5,0,14,Weekend,Weekend
"Monday, February 3, 2014",02/03/14,,34,0,5,0,0,0,29,0,184,Work day,Work day
"Monday, February 3, 2014",02/03/14,BRONX,18,0,6,0,1,0,11,0,107,Work day,Work day
"Monday, February 3, 2014",02/03/14,BROOKLYN,37,1,7,1,2,0,28,0,230,Work day,Work day
"Monday, February 3, 2014",02/03/14,MANHATTAN,29,0,14,0,3,0,12,0,132,Work day,Work day
"Monday, February 3, 2014",02/03/14,QUEENS,40,1,14,1,0,0,26,0,250,Work day,Work day
"Monday, February 3, 2014",02/03/14,STATEN ISLAND,1,0,1,0,0,0,0,0,57,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,,34,0,6,0,0,0,28,0,159,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,BRONX,10,0,4,0,0,0,6,0,62,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,BROOKLYN,53,0,5,0,3,0,45,0,127,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,MANHATTAN,16,0,7,0,1,0,8,0,112,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,QUEENS,14,0,6,0,0,0,8,0,128,Work day,Work day
"Tuesday, February 4, 2014",02/04/14,STATEN ISLAND,3,0,1,0,0,0,2,0,24,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,,12,0,0,0,0,0,12,0,82,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,BRONX,5,0,1,0,0,0,4,0,58,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,BROOKLYN,13,0,4,0,1,0,8,0,118,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,MANHATTAN,16,0,8,0,0,0,8,0,99,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,QUEENS,6,0,4,0,0,0,2,0,99,Work day,Work day
"Wednesday, February 5, 2014",02/05/14,STATEN ISLAND,1,0,1,0,0,0,0,0,12,Work day,Work day
"Thursday, February 6, 2014",02/06/14,,31,0,4,0,0,0,27,0,146,Work day,Work day
"Thursday, February 6, 2014",02/06/14,BRONX,5,0,1,0,0,0,4,0,48,Work day,Work day
"Thursday, February 6, 2014",02/06/14,BROOKLYN,22,0,6,0,0,0,16,0,141,Work day,Work day
"Thursday, February 6, 2014",02/06/14,MANHATTAN,17,0,6,0,3,0,8,0,111,Work day,Work day
"Thursday, February 6, 2014",02/06/14,QUEENS,15,0,4,0,0,0,11,0,104,Work day,Work day
"Thursday, February 6, 2014",02/06/14,STATEN ISLAND,2,0,1,0,0,0,1,0,19,Work day,Work day
"Friday, February 7, 2014",02/07/14,,18,0,3,0,0,0,15,0,152,Work day,Work day
"Friday, February 7, 2014",02/07/14,BRONX,12,0,5,0,0,0,7,0,64,Work day,Work day
"Friday, February 7, 2014",02/07/14,BROOKLYN,37,1,12,1,2,0,23,0,162,Work day,Work day
"Friday, February 7, 2014",02/07/14,MANHATTAN,20,0,10,0,0,0,10,0,130,Work day,Work day
"Friday, February 7, 2014",02/07/14,QUEENS,26,0,6,0,0,0,20,0,142,Work day,Work day
"Friday, February 7, 2014",02/07/14,STATEN ISLAND,3,0,0,0,0,0,3,0,24,Work day,Work day
"Saturday, February 8, 2014",02/08/14,,16,0,1,0,0,0,15,0,96,Weekend,Weekend
"Saturday, February 8, 2014",02/08/14,BRONX,9,0,0,0,1,0,8,0,44,Weekend,Weekend
"Saturday, February 8, 2014",02/08/14,BROOKLYN,21,0,5,0,2,0,14,0,89,Weekend,Weekend
"Saturday, February 8, 2014",02/08/14,MANHATTAN,14,0,1,0,2,0,11,0,85,Weekend,Weekend
"Saturday, February 8, 2014",02/08/14,QUEENS,10,0,2,0,0,0,8,0,94,Weekend,Weekend
"Saturday, February 8, 2014",02/08/14,STATEN ISLAND,4,0,0,0,0,0,4,0,16,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,,33,0,3,0,0,0,30,0,102,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,BRONX,12,1,0,0,0,0,12,1,55,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,BROOKLYN,20,0,2,0,1,0,17,0,105,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,MANHATTAN,5,0,3,0,1,0,1,0,61,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,QUEENS,17,0,3,0,0,0,14,0,115,Weekend,Weekend
"Sunday, February 9, 2014",02/09/14,STATEN ISLAND,0,0,0,0,0,0,0,0,13,Weekend,Weekend
"Monday, February 10, 2014",02/10/14,,34,0,8,0,2,0,24,0,153,Work day,Work day
"Monday, February 10, 2014",02/10/14,BRONX,15,0,4,0,0,0,11,0,67,Work day,Work day
"Monday, February 10, 2014",02/10/14,BROOKLYN,42,0,12,0,2,0,28,0,170,Work day,Work day
"Monday, February 10, 2014",02/10/14,MANHATTAN,31,0,19,0,4,0,8,0,140,Work day,Work day
"Monday, February 10, 2014",02/10/14,QUEENS,19,0,5,0,1,0,13,0,130,Work day,Work day
"Monday, February 10, 2014",02/10/14,STATEN ISLAND,2,0,2,0,0,0,0,0,17,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,,21,0,7,0,1,0,13,0,151,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,BRONX,13,0,8,0,0,0,5,0,76,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,BROOKLYN,37,1,7,1,0,0,30,0,139,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,MANHATTAN,12,0,4,0,2,0,6,0,123,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,QUEENS,12,0,5,0,0,0,7,0,120,Work day,Work day
"Tuesday, February 11, 2014",02/11/14,STATEN ISLAND,15,0,1,0,0,0,14,0,27,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,,32,1,1,0,1,0,30,1,152,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,BRONX,7,0,1,0,0,0,6,0,74,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,BROOKLYN,26,0,6,0,2,0,18,0,143,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,MANHATTAN,22,0,12,0,3,0,7,0,133,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,QUEENS,21,0,3,0,0,0,18,0,112,Work day,Work day
"Wednesday, February 12, 2014",02/12/14,STATEN ISLAND,4,0,0,0,0,0,4,0,26,Work day,Work day
