DATE By Day,DATE,WRK_WKEND_HOLIDAY,Day Of the Week
"Friday, April 4, 2014",04/04/14,Work day,Friday
"Saturday, April 5, 2014",04/05/14,Weekend,Saturday
"Sunday, April 6, 2014",04/06/14,Weekend,Sunday
"Monday, April 7, 2014",04/07/14,Work day,Monday
"Tuesday, April 8, 2014",04/08/14,Work day,Tuesday
"Wednesday, April 9, 2014",04/09/14,Work day,Wednesday
"Thursday, April 10, 2014",04/10/14,Work day,Thursday
"Friday, April 11, 2014",04/11/14,Work day,Friday
"Saturday, April 12, 2014",04/12/14,Weekend,Saturday
"Sunday, April 13, 2014",04/13/14,Weekend,Sunday
"Monday, April 14, 2014",04/14/14,Work day,Monday
"Tuesday, April 15, 2014",04/15/14,Work day,Tuesday
"Wednesday, April 16, 2014",04/16/14,Work day,Wednesday
"Thursday, April 17, 2014",04/17/14,Work day,Thursday
"Friday, April 18, 2014",04/18/14,Work day,Friday
"Saturday, April 19, 2014",04/19/14,Weekend,Saturday
"Sunday, April 20, 2014",04/20/14,Weekend,Sunday
"Monday, April 21, 2014",04/21/14,Work day,Monday
"Tuesday, April 22, 2014",04/22/14,Work day,Tuesday
"Wednesday, April 23, 2014",04/23/14,Work day,Wednesday
"Thursday, April 24, 2014",04/24/14,Work day,Thursday
"Friday, April 25, 2014",04/25/14,Work day,Friday
"Saturday, April 26, 2014",04/26/14,Weekend,Saturday
"Sunday, April 27, 2014",04/27/14,Weekend,Sunday
"Monday, April 28, 2014",04/28/14,Work day,Monday
"Tuesday, April 29, 2014",04/29/14,Work day,Tuesday
"Wednesday, April 30, 2014",04/30/14,Work day,Wednesday
"Thursday, May 1, 2014",05/01/14,Work day,Thursday
"Friday, May 2, 2014",05/02/14,Work day,Friday
"Saturday, May 3, 2014",05/03/14,Weekend,Saturday
"Sunday, May 4, 2014",05/04/14,Weekend,Sunday
"Monday, May 5, 2014",05/05/14,Work day,Monday
"Tuesday, May 6, 2014",05/06/14,Work day,Tuesday
"Wednesday, May 7, 2014",05/07/14,Work day,Wednesday
"Thursday, May 8, 2014",05/08/14,Work day,Thursday
"Friday, May 9, 2014",05/09/14,Work day,Friday
"Saturday, May 10, 2014",05/10/14,Weekend,Saturday
"Sunday, May 11, 2014",05/11/14,Weekend,Sunday
"Monday, May 12, 2014",05/12/14,Work day,Monday
"Tuesday, May 13, 2014",05/13/14,Work day,Tuesday
"Wednesday, May 14, 2014",05/14/14,Work day,Wednesday
"Thursday, May 15, 2014",05/15/14,Work day,Thursday
"Friday, May 16, 2014",05/16/14,Work day,Friday
"Saturday, May 17, 2014",05/17/14,Weekend,Saturday
"Sunday, May 18, 2014",05/18/14,Weekend,Sunday
"Monday, May 19, 2014",05/19/14,Work day,Monday
"Tuesday, May 20, 2014",05/20/14,Work day,Tuesday
"Wednesday, May 21, 2014",05/21/14,Work day,Wednesday
"Thursday, May 22, 2014",05/22/14,Work day,Thursday
"Friday, May 23, 2014",05/23/14,Work day,Friday
"Saturday, May 24, 2014",05/24/14,Weekend,Saturday
"Sunday, May 25, 2014",05/25/14,Weekend,Sunday
"Monday, May 26, 2014",05/26/14,Memorial Day,Monday
"Tuesday, May 27, 2014",05/27/14,Work day,Tuesday
"Wednesday, May 28, 2014",05/28/14,Work day,Wednesday
"Thursday, May 29, 2014",05/29/14,Work day,Thursday
"Friday, May 30, 2014",05/30/14,Work day,Friday
"Saturday, May 31, 2014",05/31/14,Weekend,Saturday
"Sunday, June 1, 2014",06/01/14,Weekend,Sunday
"Monday, June 2, 2014",06/02/14,Work day,Monday
"Tuesday, June 3, 2014",06/03/14,Work day,Tuesday
"Wednesday, June 4, 2014",06/04/14,Work day,Wednesday
"Thursday, June 5, 2014",06/05/14,Work day,Thursday
"Friday, June 6, 2014",06/06/14,Work day,Friday
"Saturday, June 7, 2014",06/07/14,Weekend,Saturday
"Sunday, June 8, 2014",06/08/14,Weekend,Sunday
"Monday, June 9, 2014",06/09/14,Work day,Monday
"Tuesday, June 10, 2014",06/10/14,Work day,Tuesday
"Wednesday, June 11, 2014",06/11/14,Work day,Wednesday
"Thursday, June 12, 2014",06/12/14,Work day,Thursday
"Friday, June 13, 2014",06/13/14,Work day,Friday
"Saturday, June 14, 2014",06/14/14,Weekend,Saturday
"Sunday, June 15, 2014",06/15/14,Weekend,Sunday
"Monday, June 16, 2014",06/16/14,Work day,Monday
"Tuesday, June 17, 2014",06/17/14,Work day,Tuesday
"Wednesday, June 18, 2014",06/18/14,Work day,Wednesday
"Thursday, June 19, 2014",06/19/14,Work day,Thursday
"Friday, June 20, 2014",06/20/14,Work day,Friday
"Saturday, June 21, 2014",06/21/14,Weekend,Saturday
"Sunday, June 22, 2014",06/22/14,Weekend,Sunday
"Monday, June 23, 2014",06/23/14,Work day,Monday
"Tuesday, June 24, 2014",06/24/14,Work day,Tuesday
"Wednesday, June 25, 2014",06/25/14,Work day,Wednesday
"Thursday, June 26, 2014",06/26/14,Work day,Thursday
"Friday, June 27, 2014",06/27/14,Work day,Friday
"Saturday, June 28, 2014",06/28/14,Weekend,Saturday
"Sunday, June 29, 2014",06/29/14,Weekend,Sunday
"Monday, June 30, 2014",06/30/14,Work day,Monday
"Tuesday, July 1, 2014",07/01/14,Work day,Tuesday
"Wednesday, July 2, 2014",07/02/14,Work day,Wednesday
"Thursday, July 3, 2014",07/03/14,Work day,Thursday
"Friday, July 4, 2014",07/04/14,Independence Day,Friday
"Saturday, July 5, 2014",07/05/14,Weekend,Saturday
"Sunday, July 6, 2014",07/06/14,Weekend,Sunday
"Monday, July 7, 2014",07/07/14,Work day,Monday
"Tuesday, July 8, 2014",07/08/14,Work day,Tuesday
"Wednesday, July 9, 2014",07/09/14,Work day,Wednesday
"Thursday, July 10, 2014",07/10/14,Work day,Thursday
"Friday, July 11, 2014",07/11/14,Work day,Friday
"Saturday, July 12, 2014",07/12/14,Weekend,Saturday
"Sunday, July 13, 2014",07/13/14,Weekend,Sunday
"Monday, July 14, 2014",07/14/14,Work day,Monday
"Tuesday, July 15, 2014",07/15/14,Work day,Tuesday
"Wednesday, July 16, 2014",07/16/14,Work day,Wednesday
"Thursday, July 17, 2014",07/17/14,Work day,Thursday
"Friday, July 18, 2014",07/18/14,Work day,Friday
"Saturday, July 19, 2014",07/19/14,Weekend,Saturday
"Sunday, July 20, 2014",07/20/14,Weekend,Sunday
"Monday, July 21, 2014",07/21/14,Work day,Monday
"Tuesday, July 22, 2014",07/22/14,Work day,Tuesday
"Wednesday, July 23, 2014",07/23/14,Work day,Wednesday
"Thursday, July 24, 2014",07/24/14,Work day,Thursday
"Friday, July 25, 2014",07/25/14,Work day,Friday
"Saturday, July 26, 2014",07/26/14,Weekend,Saturday
"Sunday, July 27, 2014",07/27/14,Weekend,Sunday
"Monday, July 28, 2014",07/28/14,Work day,Monday
"Tuesday, July 29, 2014",07/29/14,Work day,Tuesday
"Wednesday, July 30, 2014",07/30/14,Work day,Wednesday
"Thursday, July 31, 2014",07/31/14,Work day,Thursday
"Friday, August 1, 2014",08/01/14,Work day,Friday
"Saturday, August 2, 2014",08/02/14,Weekend,Saturday
"Sunday, August 3, 2014",08/03/14,Weekend,Sunday
"Monday, August 4, 2014",08/04/14,Work day,Monday
"Tuesday, August 5, 2014",08/05/14,Work day,Tuesday
"Wednesday, August 6, 2014",08/06/14,Work day,Wednesday
"Thursday, August 7, 2014",08/07/14,Work day,Thursday
"Friday, August 8, 2014",08/08/14,Work day,Friday
"Saturday, August 9, 2014",08/09/14,Weekend,Saturday
"Sunday, August 10, 2014",08/10/14,Weekend,Sunday
"Monday, August 11, 2014",08/11/14,Work day,Monday
"Tuesday, August 12, 2014",08/12/14,Work day,Tuesday
"Wednesday, August 13, 2014",08/13/14,Work day,Wednesday
"Thursday, August 14, 2014",08/14/14,Work day,Thursday
"Friday, August 15, 2014",08/15/14,Work day,Friday
"Saturday, August 16, 2014",08/16/14,Weekend,Saturday
"Sunday, August 17, 2014",08/17/14,Weekend,Sunday
"Monday, August 18, 2014",08/18/14,Work day,Monday
"Tuesday, August 19, 2014",08/19/14,Work day,Tuesday
"Wednesday, August 20, 2014",08/20/14,Work day,Wednesday
"Thursday, August 21, 2014",08/21/14,Work day,Thursday
"Friday, August 22, 2014",08/22/14,Work day,Friday
"Saturday, August 23, 2014",08/23/14,Weekend,Saturday
"Sunday, August 24, 2014",08/24/14,Weekend,Sunday
"Monday, August 25, 2014",08/25/14,Work day,Monday
"Tuesday, August 26, 2014",08/26/14,Work day,Tuesday
"Wednesday, August 27, 2014",08/27/14,Work day,Wednesday
"Thursday, August 28, 2014",08/28/14,Work day,Thursday
"Friday, August 29, 2014",08/29/14,Work day,Friday
"Saturday, August 30, 2014",08/30/14,Weekend,Saturday
"Sunday, August 31, 2014",08/31/14,Weekend,Sunday
"Monday, September 1, 2014",09/01/14,Labor Day,Monday
"Tuesday, September 2, 2014",09/02/14,Work day,Tuesday
"Wednesday, September 3, 2014",09/03/14,Work day,Wednesday
"Thursday, September 4, 2014",09/04/14,Work day,Thursday
"Friday, September 5, 2014",09/05/14,Work day,Friday
"Saturday, September 6, 2014",09/06/14,Weekend,Saturday
"Sunday, September 7, 2014",09/07/14,Weekend,Sunday
"Monday, September 8, 2014",09/08/14,Work day,Monday
"Tuesday, September 9, 2014",09/09/14,Work day,Tuesday
"Wednesday, September 10, 2014",09/10/14,Work day,Wednesday
"Thursday, September 11, 2014",09/11/14,Work day,Thursday
"Friday, September 12, 2014",09/12/14,Work day,Friday
"Saturday, September 13, 2014",09/13/14,Weekend,Saturday
"Sunday, September 14, 2014",09/14/14,Weekend,Sunday
"Monday, September 15, 2014",09/15/14,Work day,Monday
"Tuesday, September 16, 2014",09/16/14,Work day,Tuesday
"Wednesday, September 17, 2014",09/17/14,Work day,Wednesday
"Thursday, September 18, 2014",09/18/14,Work day,Thursday
"Friday, September 19, 2014",09/19/14,Work day,Friday
"Saturday, September 20, 2014",09/20/14,Weekend,Saturday
"Sunday, September 21, 2014",09/21/14,Weekend,Sunday
"Monday, September 22, 2014",09/22/14,Work day,Monday
"Tuesday, September 23, 2014",09/23/14,Work day,Tuesday
"Wednesday, September 24, 2014",09/24/14,Work day,Wednesday
"Thursday, September 25, 2014",09/25/14,Work day,Thursday
"Friday, September 26, 2014",09/26/14,Work day,Friday
"Saturday, September 27, 2014",09/27/14,Weekend,Saturday
"Sunday, September 28, 2014",09/28/14,Weekend,Sunday
"Monday, September 29, 2014",09/29/14,Work day,Monday
"Tuesday, September 30, 2014",09/30/14,Work day,Tuesday
"Wednesday, October 1, 2014",10/01/14,Work day,Wednesday
"Thursday, October 2, 2014",10/02/14,Work day,Thursday
"Friday, October 3, 2014",10/03/14,Work day,Friday
"Saturday, October 4, 2014",10/04/14,Weekend,Saturday
"Sunday, October 5, 2014",10/05/14,Weekend,Sunday
"Monday, October 6, 2014",10/06/14,Work day,Monday
"Tuesday, October 7, 2014",10/07/14,Work day,Tuesday
"Wednesday, October 8, 2014",10/08/14,Work day,Wednesday
"Thursday, October 9, 2014",10/09/14,Work day,Thursday
"Friday, October 10, 2014",10/10/14,Work day,Friday
"Saturday, October 11, 2014",10/11/14,Weekend,Saturday
"Sunday, October 12, 2014",10/12/14,Weekend,Sunday
"Monday, October 13, 2014",10/13/14,Columbus Day,Monday
"Tuesday, October 14, 2014",10/14/14,Work day,Tuesday
